# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,3.50,3.31,2.93,2.87,2.99,3.22,3.65,4.02,4.23,4.32,4.22,3.89
Ground Temperatures,∆°C,depth 2.0 m,3.66,3.52,3.17,2.82,3.09,3.21,3.51,3.79,3.99,4.12,4.11,3.93
Ground Temperatures,∆°C,depth 4.0 m,3.72,3.64,3.36,2.95,3.23,3.27,3.45,3.64,3.79,3.94,3.96,3.87
N6 Dry Bulb Temperature,∆°C,-,2.5021,2.5218,2.6917,3.4700,4.3104,4.6799,4.3284,4.1565,4.5046,3.9563,3.2426,2.7098
N7 Dew Point Temperature,∆°C,-,1.9977,1.4259,1.5777,1.3662,1.4625,1.8964,1.9111,2.2968,2.7058,2.1818,2.2459,1.8775
N8 Relative Humidity,∆%,-,-0.8939,-3.5084,-3.5811,-6.6665,-8.4589,-7.3371,-6.5857,-5.1401,-4.5692,-6.0622,-3.0693,-2.0218
N9 Atmospheric Station Pressure,∆Pa,-,26.2685,8.1974,13.4949,35.3072,-49.5062,-104.1689,-129.6260,-165.7584,-83.2481,5.4685,63.3165,60.2199
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.7908,1.8247,2.2477,2.1791,1.3325,0.1609,0.2054,0.8125,1.1558,-1.5173,-1.2050,-0.2337
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-839.4739,-779.4841,-701.0877,-620.6866,-555.0066,-521.9962,-534.7519,-586.9283,-659.5240,-739.3381,-813.8645,-855.6825
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,19.5020,27.7197,21.8040,18.0330,23.2898,23.6725,32.0710,31.0070,22.0792,33.1117,20.4433,26.6385
N13 Global Horizontal Radiation,∆Wh/m²,-,3.0854,4.6389,6.8897,13.4430,11.5936,6.6295,1.7014,0.9072,3.6115,4.5666,5.6443,3.5046
N14 Direct Normal Radiation,∆Wh/m²,-,-13.4698,-7.3256,6.2892,21.2032,18.6861,10.8334,-12.6111,-8.7455,4.0044,3.2286,2.4411,-5.4947
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,8.0202,7.2001,1.5259,-2.1556,-6.1241,-5.6042,6.4901,3.6470,-2.2373,1.9581,5.5807,5.1602
N16 Global Horizontal Illuminance,∆lux,-,266.7710,470.2607,801.4578,1359.7212,1313.2748,509.1653,324.4082,214.8558,382.9136,563.7070,549.6369,351.0292
N17 Direct Normal Illuminance,∆lux,-,-1463.4579,-886.1720,615.2405,2122.2128,2199.8397,1449.6542,-1342.7690,-823.5624,671.4609,279.4459,-78.4121,-581.4940
N18 Diffuse Horizontal Illuminance,∆lux,-,-5190.8602,-7170.0893,-9021.2366,-12295.5556,-12514.7849,-13466.5278,-11465.8602,-10804.8387,-10334.3056,-8234.8118,-5771.9444,-5048.1183
N19 Zenith Luminance,∆Cd/m²,-,163.5781,189.9121,78.6527,-82.5395,-347.3516,-557.5895,222.1555,110.1196,-100.3627,65.5123,111.5697,123.5407
N21 Wind Speed,∆m/s,-,-0.0922,-0.0775,-0.0684,-0.0610,0.0111,0.0331,0.0683,0.0185,-0.0494,-0.1374,-0.2386,-0.1223
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,-0.0538,-1.0000,-1.0000,-0.9292,0.0000,-0.0551,-1.0000,-1.0000,-1.0000,-0.0228
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,-0.0538,-0.6778,-0.6331,-0.7528,0.0000,-0.0390,-0.7847,-0.6371,-0.6806,-0.0175
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
