# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,2.34,2.26,1.94,1.91,1.99,2.13,2.44,2.69,2.83,2.90,2.84,2.60
Ground Temperatures,∆°C,depth 2.0 m,2.44,2.39,2.11,1.80,2.06,2.13,2.34,2.53,2.67,2.76,2.76,2.63
Ground Temperatures,∆°C,depth 4.0 m,2.49,2.46,2.24,1.87,2.15,2.17,2.30,2.43,2.53,2.64,2.65,2.59
N6 Dry Bulb Temperature,∆°C,-,1.6297,1.7225,1.7324,2.1636,2.7235,3.1384,2.9444,2.9742,3.1072,2.7465,2.0984,1.7871
N7 Dew Point Temperature,∆°C,-,1.4406,1.1045,1.1513,0.9492,1.0853,1.1733,1.2917,1.5515,1.8880,1.4925,1.6348,1.2996
N8 Relative Humidity,∆%,-,-0.2503,-1.9733,-1.8535,-3.9271,-5.0202,-5.3406,-4.6347,-4.0574,-3.2040,-4.6939,-1.5719,-1.3992
N9 Atmospheric Station Pressure,∆Pa,-,9.1518,-13.1536,6.7371,23.5256,-32.3372,-66.5566,-89.5578,-115.5578,-55.9543,27.4744,22.8386,30.3863
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.7908,1.8247,2.2477,2.1791,1.3325,0.1609,0.2054,0.8125,1.1558,-1.5173,-1.2050,-0.2337
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-839.4739,-779.4841,-701.0877,-620.6866,-555.0066,-521.9962,-534.7519,-586.9283,-659.5240,-739.3381,-813.8645,-855.6825
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,14.2420,23.2584,16.9840,11.6728,14.8731,21.9963,22.6423,22.7569,20.7677,32.6909,21.6634,21.1751
N13 Global Horizontal Radiation,∆Wh/m²,-,2.3697,3.0363,5.1078,11.0672,9.4672,7.1665,3.1778,2.4017,3.9288,4.7047,3.8906,2.9950
N14 Direct Normal Radiation,∆Wh/m²,-,-14.9644,-11.0761,3.0077,17.3304,14.7110,12.2042,-8.5920,-4.4846,4.9602,3.4823,-1.0198,-6.9325
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,7.8162,7.2871,1.4919,-2.1878,-5.6536,-6.0940,5.0056,2.0985,-2.5517,1.9665,5.0608,5.1531
N16 Global Horizontal Illuminance,∆lux,-,188.5284,303.2685,530.8761,1051.7765,1052.8833,512.0227,437.5825,382.0342,378.0725,550.9297,379.9152,299.6209
N17 Direct Normal Illuminance,∆lux,-,-1559.4462,-1207.0473,337.2831,1782.0422,1825.1135,1622.2586,-844.4174,-344.0058,813.5606,351.6589,-358.9517,-681.9902
N18 Diffuse Horizontal Illuminance,∆lux,-,-5190.8602,-7170.0893,-9021.2366,-12295.5556,-12514.7849,-13466.5278,-11465.8602,-10804.8387,-10334.3056,-8234.8118,-5771.9444,-5048.1183
N19 Zenith Luminance,∆Cd/m²,-,160.8183,196.1630,56.9004,-106.8343,-344.2490,-584.1466,144.3438,59.7585,-112.1845,65.5184,106.7278,128.4551
N21 Wind Speed,∆m/s,-,-0.0375,-0.0409,-0.0306,-0.0480,-0.0162,0.0361,0.0409,0.0233,-0.0376,-0.1086,-0.1478,-0.0660
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,-0.9389,-0.9745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,-0.6500,-0.6331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
