# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,1.70,1.63,1.83,2.95,2.08,2.14,2.19,2.15,2.09,1.92,1.83,1.72
Ground Temperatures,∆°C,depth 2.0 m,1.76,1.71,1.82,2.61,2.01,2.06,2.12,2.11,2.09,1.97,1.91,1.80
Ground Temperatures,∆°C,depth 4.0 m,1.82,1.79,1.83,2.32,1.95,1.99,2.05,2.06,2.06,1.99,1.95,1.86
N6 Dry Bulb Temperature,∆°C,-,1.8335,1.6512,1.7005,1.8919,2.0384,2.1501,2.3665,2.2780,2.3417,1.6182,1.6041,1.7973
N7 Dew Point Temperature,∆°C,-,2.4417,1.5212,1.2589,1.5049,1.2371,1.4279,1.2703,0.9582,1.5802,1.0300,1.7609,2.1137
N8 Relative Humidity,∆%,-,4.3614,-0.4453,-2.1503,-1.6751,-3.5503,-2.9313,-4.8179,-5.8523,-3.3728,-3.1555,1.4564,3.3075
N9 Atmospheric Station Pressure,∆Pa,-,-8.7172,324.2837,150.1180,211.7166,186.5317,131.9552,-36.6978,117.4205,117.6893,74.3843,428.5070,-43.9335
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,29.2673,31.0252,35.7756,27.4746,21.5811,37.5179,37.5421,29.0181,31.9323,30.4492,32.1266,29.7733
N13 Global Horizontal Radiation,∆Wh/m²,-,-0.1930,6.4792,7.4779,16.3183,17.6418,16.6963,12.0352,22.8201,10.9547,3.0696,1.4827,1.6899
N14 Direct Normal Radiation,∆Wh/m²,-,-5.7816,5.9582,8.4380,17.8122,17.9370,16.2153,14.4882,28.8535,11.4469,3.2938,0.6292,3.9919
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.1034,4.5470,3.3815,6.5153,5.3494,4.9186,0.5397,4.7423,4.3618,1.5396,1.4718,0.8117
N16 Global Horizontal Illuminance,∆lux,-,-17.5284,644.7600,741.9782,1668.7631,1719.1913,1620.1509,1236.9374,2411.4940,1157.5434,315.7596,151.8315,175.0860
N17 Direct Normal Illuminance,∆lux,-,-534.0238,454.6060,741.8293,1568.8883,1754.8672,1610.8074,1601.1463,2795.0404,1068.4402,283.4427,-48.7158,250.8423
N18 Diffuse Horizontal Illuminance,∆lux,-,113.1634,542.7408,441.5862,829.4673,557.4921,434.5795,-67.6749,580.3112,524.9426,162.9687,133.9624,97.4332
N19 Zenith Luminance,∆Cd/m²,-,48.6949,68.8667,12.4176,112.7042,146.8928,124.0924,-18.2097,54.8384,105.9374,101.0648,80.9957,19.6530
N21 Wind Speed,∆m/s,-,0.2956,0.0422,0.3109,0.2035,-0.0216,0.0431,0.0407,-0.0069,-0.1395,0.1565,0.0056,0.2755
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,-0.8185,0.0000,0.0000,-0.8616,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,-0.5565,0.0000,0.0000,-0.5027,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.9838,-1.8894,-1.9033,-0.1270,-0.0796,-0.0020,0.0000,-0.0010,-0.0621,-0.9518,-0.9755
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
