# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,1.43,1.40,1.66,2.87,2.08,2.21,2.27,2.20,2.08,1.81,1.64,1.47
Ground Temperatures,∆°C,depth 2.0 m,1.53,1.50,1.64,2.50,1.96,2.07,2.16,2.14,2.08,1.90,1.77,1.60
Ground Temperatures,∆°C,depth 4.0 m,1.65,1.61,1.67,2.20,1.87,1.96,2.04,2.06,2.04,1.93,1.85,1.72
N6 Dry Bulb Temperature,∆°C,-,1.6906,1.4491,1.4593,1.5313,1.8735,2.1045,2.5605,2.1648,2.2617,1.7144,1.6514,1.7131
N7 Dew Point Temperature,∆°C,-,2.2625,1.3476,1.1600,1.5405,1.5584,1.3707,1.3312,0.9287,1.4146,0.9606,2.0114,1.7753
N8 Relative Humidity,∆%,-,4.1131,-0.3159,-1.4413,0.2915,-1.2564,-2.9612,-5.3929,-5.5313,-3.7575,-4.0447,2.8996,1.3324
N9 Atmospheric Station Pressure,∆Pa,-,-73.7548,161.1155,68.8526,-70.6142,141.7699,243.4240,-4.4195,106.6817,216.8402,3.4239,343.4800,-360.3877
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,28.4782,29.9808,34.5517,25.8123,28.0930,37.2327,38.6349,35.1189,31.3494,30.8569,32.5887,29.0766
N13 Global Horizontal Radiation,∆Wh/m²,-,-0.2082,3.1320,7.2296,8.3917,12.2117,21.0028,14.3439,15.4439,15.7062,6.4016,-0.0191,2.9487
N14 Direct Normal Radiation,∆Wh/m²,-,-5.6656,-0.9730,8.0514,8.8909,11.0894,20.0084,18.2835,19.5720,17.6194,10.8833,-4.4777,8.8167
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.0606,3.2455,3.3083,3.0049,3.5730,6.9265,0.4502,2.2811,6.3290,2.0937,1.4101,0.9836
N16 Global Horizontal Illuminance,∆lux,-,-19.2913,317.3705,721.5659,881.5979,1178.5203,2066.2369,1455.3423,1580.7034,1633.0620,639.2221,2.5777,300.5571
N17 Direct Normal Illuminance,∆lux,-,-524.8655,-120.0249,709.4942,800.2367,1154.7964,1923.2142,1977.9401,2035.3884,1596.1700,941.2705,-463.7892,640.0570
N18 Diffuse Horizontal Illuminance,∆lux,-,107.6688,363.8798,431.2077,405.2195,323.2383,699.7982,-82.4597,213.4627,772.7793,267.9804,114.2279,142.5177
N19 Zenith Luminance,∆Cd/m²,-,47.9533,92.6502,14.1047,97.3538,154.8197,154.2425,-24.3067,37.4541,92.3361,42.3401,81.1516,-2.5211
N21 Wind Speed,∆m/s,-,0.2517,-0.0305,-0.0097,0.2268,0.0424,-0.1266,0.0616,0.0388,-0.2094,0.1548,-0.0511,0.2962
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.9941,-1.6822,-1.8978,-0.1263,-0.0796,-0.0020,0.0000,-0.0007,-0.0509,-0.9127,0.1226
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
