# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,2.02,2.02,2.36,3.66,2.97,3.15,3.24,3.13,2.93,2.57,2.31,2.08
Ground Temperatures,∆°C,depth 2.0 m,2.18,2.15,2.33,3.25,2.79,2.96,3.08,3.05,2.95,2.70,2.50,2.28
Ground Temperatures,∆°C,depth 4.0 m,2.34,2.30,2.37,2.94,2.66,2.79,2.91,2.93,2.89,2.75,2.62,2.44
N6 Dry Bulb Temperature,∆°C,-,2.2275,2.1568,2.3350,2.0969,2.4345,3.0064,3.6833,3.3575,2.9367,2.5309,2.4416,2.3126
N7 Dew Point Temperature,∆°C,-,2.7038,2.4044,2.4028,1.7838,1.7190,1.7686,1.5747,1.8222,2.2882,1.9276,2.7385,2.3242
N8 Relative Humidity,∆%,-,3.5942,2.0768,0.6787,-1.2907,-3.0428,-4.9578,-8.9911,-6.6362,-2.7583,-2.9768,2.8363,1.3431
N9 Atmospheric Station Pressure,∆Pa,-,-130.2390,262.2707,136.3787,140.8474,167.9018,321.8326,58.5834,97.4532,220.0002,12.0350,415.2549,-219.0693
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,31.2566,33.9840,39.5149,28.7069,31.0316,42.2718,44.8672,42.4621,35.7479,35.8407,37.0373,32.3588
N13 Global Horizontal Radiation,∆Wh/m²,-,0.1340,4.0194,0.6768,7.8853,15.9039,25.4672,23.3061,21.8047,11.9391,4.0124,1.3752,2.2330
N14 Direct Normal Radiation,∆Wh/m²,-,-4.5210,1.3303,-2.9150,8.1831,15.7285,23.9079,30.7748,27.6983,12.8282,5.7519,0.2600,6.2832
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.1224,3.4566,1.8161,2.8255,4.8003,9.1139,1.6578,4.3130,4.7159,1.5604,1.4652,0.8308
N16 Global Horizontal Illuminance,∆lux,-,13.4095,408.1908,94.3789,834.5428,1552.9389,2606.9619,2435.5495,2335.4478,1271.2681,419.5843,142.5281,229.1263
N17 Direct Normal Illuminance,∆lux,-,-434.9549,54.9483,-334.0234,733.4241,1555.4369,2185.1612,3092.8591,2663.1670,1165.9660,473.8125,-92.4492,429.2950
N18 Diffuse Horizontal Illuminance,∆lux,-,120.9319,396.1528,216.8666,384.8533,499.8127,1021.6302,160.5453,553.5411,587.3076,183.9486,137.1110,107.5579
N19 Zenith Luminance,∆Cd/m²,-,48.8914,97.6824,191.1185,101.7509,143.1532,226.6522,-78.9747,55.2905,103.6840,90.5795,80.8969,18.7116
N21 Wind Speed,∆m/s,-,0.1618,-0.0217,0.2722,0.2453,0.0145,-0.1339,0.0221,-0.0826,-0.2442,0.2056,0.0250,0.2725
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.7744,-1.9363,-1.9049,-0.1272,-0.0796,-0.0020,0.0000,-0.0010,-0.0621,-0.9518,-0.9755
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
