# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,2.06,2.06,2.38,3.65,2.94,3.11,3.19,3.09,2.91,2.57,2.34,2.11
Ground Temperatures,∆°C,depth 2.0 m,2.21,2.18,2.35,3.26,2.77,2.93,3.04,3.01,2.93,2.69,2.51,2.30
Ground Temperatures,∆°C,depth 4.0 m,2.36,2.32,2.39,2.94,2.66,2.77,2.89,2.91,2.87,2.73,2.62,2.45
N6 Dry Bulb Temperature,∆°C,-,2.3250,2.2097,2.4543,2.3577,2.5283,3.0033,3.6336,3.3449,3.1169,2.1685,2.2225,2.1243
N7 Dew Point Temperature,∆°C,-,3.3076,2.4429,2.2243,1.9920,1.8279,1.7435,1.3447,1.6365,2.2619,1.3241,2.5813,2.1429
N8 Relative Humidity,∆%,-,6.9739,1.9938,-0.9040,-1.5188,-2.9692,-5.0335,-9.7194,-7.3844,-3.6734,-4.4836,3.1804,1.2892
N9 Atmospheric Station Pressure,∆Pa,-,81.3449,485.6796,378.9681,109.0508,197.4565,327.8394,138.5905,113.2750,274.5299,-34.7475,336.2200,-102.8490
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,32.2520,34.2595,39.9928,30.1569,31.6229,42.2194,44.3299,42.1604,36.6475,33.4282,35.8427,31.3217
N13 Global Horizontal Radiation,∆Wh/m²,-,-0.5403,2.3122,8.1185,5.7151,13.9261,24.1592,27.2244,20.4736,16.0503,4.1336,0.3718,2.5835
N14 Direct Normal Radiation,∆Wh/m²,-,-7.0407,-3.0006,9.5486,5.1209,13.3023,22.6860,35.5373,26.0915,18.0523,5.9083,-3.0252,7.5445
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.0552,3.0434,3.5108,2.2493,4.1006,8.5823,2.7125,3.8196,6.4699,1.6269,1.3877,0.9034
N16 Global Horizontal Illuminance,∆lux,-,-53.8394,238.7855,826.8920,634.5571,1349.9323,2467.1443,2820.7550,2171.2775,1683.1029,423.3701,44.3217,263.9587
N17 Direct Normal Illuminance,∆lux,-,-641.9247,-310.1881,836.8513,447.8315,1338.4108,2089.8907,3513.1525,2548.4504,1607.1193,501.1111,-354.8189,523.0796
N18 Diffuse Horizontal Illuminance,∆lux,-,108.0891,336.9617,464.0941,313.6342,401.5383,949.8963,310.5377,474.7815,809.6787,186.4036,117.7278,120.1751
N19 Zenith Luminance,∆Cd/m²,-,49.1078,116.2192,16.7678,128.4164,141.6606,206.2742,-75.5933,38.1500,92.7484,93.0392,80.2245,17.7778
N21 Wind Speed,∆m/s,-,0.1636,-0.0895,-0.0193,0.1545,0.0323,-0.1313,-0.0644,-0.1603,-0.2372,0.1882,0.0311,0.2118
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-1.0364,-1.9510,-1.9049,-0.1272,-0.0796,-0.0020,0.0000,-0.0010,-0.0621,-0.9518,-0.9755
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
