# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,1.23,1.18,1.42,2.59,1.77,1.87,1.92,1.86,1.77,1.54,1.41,1.26
Ground Temperatures,∆°C,depth 2.0 m,1.31,1.27,1.40,2.23,1.67,1.75,1.83,1.81,1.77,1.61,1.51,1.37
Ground Temperatures,∆°C,depth 4.0 m,1.41,1.37,1.43,1.94,1.59,1.66,1.73,1.75,1.73,1.64,1.58,1.47
N6 Dry Bulb Temperature,∆°C,-,1.5460,1.4018,1.4315,1.5799,1.6330,1.9570,2.3448,1.7176,1.5693,1.1004,1.1899,1.3959
N7 Dew Point Temperature,∆°C,-,2.3900,1.5051,1.1363,1.4456,0.8238,1.3125,0.8418,0.6110,0.9962,0.2575,1.4996,1.7400
N8 Relative Humidity,∆%,-,5.8476,0.9685,-1.4256,-0.4298,-3.6744,-2.5647,-6.5960,-5.0061,-2.6128,-4.6549,2.4256,3.2633
N9 Atmospheric Station Pressure,∆Pa,-,-245.2706,46.8649,65.2526,139.9025,104.5162,113.0770,17.9460,54.6114,64.6823,-61.1527,308.6336,-89.6867
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,27.9280,29.8912,34.4085,25.9561,25.9977,36.3976,36.9174,32.4223,27.4007,27.1833,29.9543,27.5823
N13 Global Horizontal Radiation,∆Wh/m²,-,0.2404,2.1482,4.5389,10.3207,18.5467,15.7439,18.8986,13.9582,10.0173,3.1635,1.5276,0.5983
N14 Direct Normal Radiation,∆Wh/m²,-,-4.1091,-3.2126,3.5128,11.3332,18.9167,15.2845,25.1579,17.4318,10.0951,3.5671,0.7817,-0.6388
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.1262,2.9524,2.6912,3.6776,5.7283,4.6111,0.6884,1.9660,4.0740,1.5302,1.4736,0.7997
N16 Global Horizontal Illuminance,∆lux,-,23.6194,220.1288,458.3455,1080.5395,1831.3139,1527.0094,1900.5753,1399.0918,1059.7121,321.4471,156.4111,71.1588
N17 Direct Normal Illuminance,∆lux,-,-401.7203,-318.9271,283.3885,1017.7361,1846.0971,1530.0290,2626.8731,1865.3373,953.7843,325.2136,-33.7713,-99.9185
N18 Diffuse Horizontal Illuminance,∆lux,-,121.3218,321.9037,336.0508,490.9108,610.0690,395.4677,-37.2221,145.5859,477.9593,155.9571,133.0941,74.5583
N19 Zenith Luminance,∆Cd/m²,-,48.8267,119.8102,58.3876,93.1968,154.1921,144.0074,-70.7458,37.6615,120.3906,101.0049,81.0166,22.4561
N21 Wind Speed,∆m/s,-,0.0940,0.0162,0.0952,0.0714,0.0024,-0.0771,0.0251,0.0461,-0.1811,0.2831,0.0418,0.1704
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.8628,-1.5052,15.1606,0.3147,-0.0796,-0.0020,0.0000,-0.0010,-0.0603,-0.9485,-0.8470
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
