# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,1.05,0.99,1.20,2.32,1.46,1.54,1.59,1.54,1.48,1.29,1.20,1.07
Ground Temperatures,∆°C,depth 2.0 m,1.11,1.07,1.18,1.99,1.39,1.45,1.52,1.50,1.48,1.34,1.28,1.16
Ground Temperatures,∆°C,depth 4.0 m,1.19,1.16,1.20,1.69,1.33,1.38,1.44,1.45,1.44,1.37,1.33,1.23
N6 Dry Bulb Temperature,∆°C,-,1.1489,1.2266,1.2608,1.3533,1.5113,1.4848,1.9948,1.6283,1.3724,1.0578,0.8298,0.9126
N7 Dew Point Temperature,∆°C,-,2.0869,1.5054,0.7868,1.4136,0.8077,0.8629,0.6186,0.2927,0.8010,0.7348,0.5705,1.0401
N8 Relative Humidity,∆%,-,6.4113,2.0637,-2.4059,0.5368,-3.1969,-2.5587,-6.0639,-6.0288,-2.6339,-1.7241,-1.4155,1.2593
N9 Atmospheric Station Pressure,∆Pa,-,-3.6953,218.0994,-151.6448,94.7214,68.5647,98.8006,100.7248,76.6223,37.0786,-85.6125,283.2772,-280.2198
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,25.8839,29.0986,33.3922,24.8590,25.3800,33.5609,34.8322,31.5704,26.1874,27.4606,27.4157,24.6958
N13 Global Horizontal Radiation,∆Wh/m²,-,-1.3642,3.0734,6.6356,9.8826,12.5462,18.6199,25.5152,20.3839,7.3606,2.7070,3.3530,2.0444
N14 Direct Normal Radiation,∆Wh/m²,-,-11.0361,-1.0653,7.0481,10.7708,11.5816,17.8088,33.4502,26.0232,5.8972,2.3696,6.1489,5.6857
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.1901,3.2167,3.1693,3.5583,3.6324,5.9850,2.2520,3.7677,3.3808,1.5248,1.8098,0.7757
N16 Global Horizontal Illuminance,∆lux,-,-134.9171,311.4485,658.5972,1032.3695,1195.3810,1803.3407,2643.4379,2114.2352,787.3621,276.1828,343.7439,210.1707
N17 Direct Normal Illuminance,∆lux,-,-945.6708,-129.2435,621.7181,966.5314,1215.1251,1737.9162,3347.0791,2591.6876,585.4342,213.1895,451.3656,397.5300
N18 Diffuse Horizontal Illuminance,∆lux,-,106.2436,361.4886,405.6660,474.7823,317.0284,574.0420,224.3826,426.1105,359.2207,157.8460,214.0004,95.5295
N19 Zenith Luminance,∆Cd/m²,-,52.6064,91.8534,23.7701,98.1875,145.5060,146.6491,-70.7830,46.4750,206.8969,101.0706,-0.0538,17.4612
N21 Wind Speed,∆m/s,-,0.0355,-0.0083,0.1125,0.0407,-0.0054,-0.0432,-0.0052,0.0514,-0.1654,0.2024,0.0713,0.1641
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.8674,-1.9175,-1.9042,-0.1249,-0.0796,-0.0020,0.0000,-0.0010,-0.0621,-0.9516,-0.9678
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
