# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,1.16,1.14,1.43,2.65,1.89,2.03,2.10,2.02,1.88,1.59,1.40,1.21
Ground Temperatures,∆°C,depth 2.0 m,1.28,1.25,1.40,2.28,1.75,1.88,1.98,1.96,1.89,1.68,1.54,1.36
Ground Temperatures,∆°C,depth 4.0 m,1.41,1.37,1.43,1.97,1.66,1.75,1.85,1.87,1.84,1.72,1.63,1.49
N6 Dry Bulb Temperature,∆°C,-,1.5537,1.1930,1.4298,1.5237,1.5067,2.1183,2.4079,2.0401,1.6921,1.2408,1.3630,1.4975
N7 Dew Point Temperature,∆°C,-,2.2088,0.9234,1.3403,1.1546,0.7628,1.3419,1.1128,0.7807,1.0837,0.6846,1.6389,1.7491
N8 Relative Humidity,∆%,-,4.5659,-1.4090,-0.3157,-1.6619,-3.3893,-3.1134,-5.6552,-5.6425,-2.7258,-3.0327,2.1722,2.5610
N9 Atmospheric Station Pressure,∆Pa,-,250.8211,251.1189,8.0834,154.1176,1.0273,123.1380,64.8800,60.4389,192.3473,-126.8917,350.7241,-13.4739
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,27.7950,28.5069,34.5105,25.3743,25.3069,37.2722,37.5799,34.2956,28.1161,28.2776,30.8730,28.0424
N13 Global Horizontal Radiation,∆Wh/m²,-,-1.1453,2.9986,6.2133,14.1164,11.5438,25.0336,22.7243,17.4378,12.5379,2.9848,0.8835,0.8957
N14 Direct Normal Radiation,∆Wh/m²,-,-9.9891,-1.2130,6.3102,15.4728,10.1864,23.4270,30.0783,22.3235,13.6809,3.0203,-1.2464,0.5400
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.1568,3.1880,3.0729,5.4996,3.4211,8.9722,1.5006,2.7849,4.9360,1.5592,1.3971,0.8212
N16 Global Horizontal Illuminance,∆lux,-,-117.4804,303.3561,616.6175,1455.5857,1102.3455,2548.6320,2345.8658,1793.8992,1306.0570,303.8736,93.8477,101.1664
N17 Direct Normal Illuminance,∆lux,-,-858.6355,-138.8186,539.5750,1375.4132,1086.2956,2156.9294,3045.8975,2286.3551,1274.2509,267.3129,-195.9806,-16.6664
N18 Diffuse Horizontal Illuminance,∆lux,-,109.6403,354.3133,393.2746,706.3174,288.2827,993.5130,111.2706,289.5306,595.9811,160.9440,117.5806,81.4287
N19 Zenith Luminance,∆Cd/m²,-,51.2617,96.2691,49.4218,110.8882,163.1325,224.6259,-84.2841,23.7543,103.8616,101.2239,80.4475,22.0678
N21 Wind Speed,∆m/s,-,0.1125,-0.0402,-0.0059,0.1295,-0.1113,-0.1743,0.0260,0.0788,-0.2211,0.1997,0.0091,0.1242
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.8003,-1.8902,-1.9027,-0.1267,-0.0796,-0.0020,0.0000,-0.0010,-0.0621,-0.9516,-0.9679
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
