# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,0.88,0.80,0.97,2.03,1.12,1.15,1.19,1.16,1.14,1.02,0.98,0.89
Ground Temperatures,∆°C,depth 2.0 m,0.92,0.87,0.96,1.72,1.08,1.10,1.15,1.14,1.14,1.05,1.02,0.94
Ground Temperatures,∆°C,depth 4.0 m,0.96,0.93,0.96,1.43,1.04,1.06,1.10,1.11,1.11,1.06,1.05,0.98
N6 Dry Bulb Temperature,∆°C,-,0.9788,0.7788,1.2011,0.7154,0.4556,1.0119,1.2898,1.6330,1.5587,1.3627,0.6533,0.7382
N7 Dew Point Temperature,∆°C,-,1.0951,0.8100,1.2856,0.7824,0.7032,0.9887,0.5834,0.9789,0.9638,1.1525,0.6191,0.7337
N8 Relative Humidity,∆%,-,1.0562,0.3637,0.6033,0.4316,1.1453,0.1197,-2.9361,-2.7792,-2.4536,-0.7547,0.0019,0.6121
N9 Atmospheric Station Pressure,∆Pa,-,40.1078,123.5055,84.6729,-18.4121,-26.4321,218.8075,196.7566,72.3472,156.6698,166.4843,313.5959,173.4915
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,24.2741,26.5616,33.3910,21.1963,20.1716,31.2616,31.1484,32.4853,27.3750,29.4407,26.6866,23.7614
N13 Global Horizontal Radiation,∆Wh/m²,-,-1.9404,-1.4459,-3.4808,-5.4230,-9.5467,6.3274,12.2038,3.6197,8.2215,1.2282,1.8653,0.5064
N14 Direct Normal Radiation,∆Wh/m²,-,-13.4561,-12.9994,-10.4217,-16.2011,-29.7010,4.3250,15.0482,-1.8100,7.3811,-1.8261,1.8936,-0.9815
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.1995,2.5389,1.2064,3.0263,6.7601,2.1542,0.3544,2.8484,3.5885,1.6388,1.5069,0.7883
N16 Global Horizontal Illuminance,∆lux,-,-188.0620,-139.1612,-330.9959,-497.1314,-940.0302,651.4849,1234.4217,395.9376,886.5740,120.5112,190.0398,60.3008
N17 Direct Normal Illuminance,∆lux,-,-1125.8961,-1150.2140,-1008.6087,-1587.6147,-2880.4686,506.1276,1688.1885,-69.7991,704.4163,-173.8903,78.0225,-116.0702
N18 Diffuse Horizontal Illuminance,∆lux,-,91.0359,235.5090,113.7181,340.6416,705.2309,152.4201,-110.2243,240.3839,408.2426,164.9025,141.7097,70.1212
N19 Zenith Luminance,∆Cd/m²,-,52.5245,124.7601,196.3045,213.1182,365.8589,52.5833,-22.8332,169.8718,177.0055,102.5724,65.2339,22.4187
N21 Wind Speed,∆m/s,-,0.0124,0.0017,-0.0277,0.3390,-0.0525,-0.3349,-0.1628,-0.0249,-0.2618,-0.1272,-0.0146,-0.0658
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.2086,-0.9893,-1.1241,8.5365,0.2283,0.0000,0.0000,-0.0169,-0.6580,-0.2814,-0.1362
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
