# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,2.29,2.33,2.77,4.21,3.65,3.93,4.04,3.88,3.58,3.08,2.69,2.36
Ground Temperatures,∆°C,depth 2.0 m,2.51,2.49,2.73,3.75,3.39,3.64,3.81,3.77,3.61,3.26,2.96,2.65
Ground Temperatures,∆°C,depth 4.0 m,2.75,2.69,2.79,3.41,3.21,3.40,3.57,3.60,3.53,3.33,3.13,2.89
N6 Dry Bulb Temperature,∆°C,-,2.3326,2.2329,2.5268,2.7242,2.4553,3.3056,4.3582,4.7757,3.9942,3.3341,2.5915,3.2690
N7 Dew Point Temperature,∆°C,-,2.5980,2.3406,2.6908,2.9787,2.7254,2.8515,1.8902,1.7680,2.7610,2.9727,2.5873,3.2438
N8 Relative Humidity,∆%,-,2.4907,1.3867,1.2356,1.8162,1.4645,-1.3125,-9.8979,-12.0542,-5.0603,-1.4415,1.1000,2.2714
N9 Atmospheric Station Pressure,∆Pa,-,93.8416,198.1451,79.5789,167.6667,131.9404,406.2104,204.7883,191.1630,187.4673,144.7460,363.5629,397.5934
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,31.7320,34.3524,40.6217,32.9400,32.3982,37.5198,41.2640,42.0881,41.2481,40.8233,37.7065,37.8187
N13 Global Horizontal Radiation,∆Wh/m²,-,-1.2520,-1.5607,-5.9528,-2.4984,-8.9138,18.3192,24.1377,16.8526,7.4395,-1.3784,0.5937,-1.7731
N14 Direct Normal Radiation,∆Wh/m²,-,-10.2226,-13.1698,-15.0493,-9.4594,-27.8740,17.1163,31.7961,21.5632,6.0871,-9.9521,-1.9814,-9.0755
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.1064,2.4842,0.9232,2.0488,6.2014,6.1217,1.8721,2.6055,3.3801,2.2291,1.3215,0.4219
N16 Global Horizontal Illuminance,∆lux,-,-126.0350,-148.1208,-589.7283,-198.2617,-843.8035,1827.9026,2539.1074,1764.6130,819.8161,-119.4323,64.7711,-165.2532
N17 Direct Normal Illuminance,∆lux,-,-883.7931,-1180.9448,-1449.8677,-964.3178,-2756.7188,1632.0126,3166.5076,2183.7854,548.5745,-975.1279,-268.0628,-720.0993
N18 Diffuse Horizontal Illuminance,∆lux,-,102.7557,234.2435,73.3929,261.2179,681.6461,638.5258,215.4274,292.8874,392.5485,207.2541,113.5842,0.2236
N19 Zenith Luminance,∆Cd/m²,-,49.4757,123.1439,193.1991,179.2528,343.2387,149.2584,-71.3795,29.9585,190.6030,121.6343,78.5102,19.8886
N21 Wind Speed,∆m/s,-,-0.0659,-0.0330,-0.1885,0.0157,-0.0948,-0.3481,-0.1998,-0.1566,-0.1875,-0.1266,-0.1271,-0.1023
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9139,-1.0000,-1.0000,-0.0653,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5639,-0.6102,-0.5887,-0.0375,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.6231,-1.6605,-1.8247,-0.9482,-0.0240,0.0000,0.0000,-0.0247,-0.9686,-0.7192,-0.7317
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
