# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,0.94,0.84,0.95,1.94,0.95,0.93,0.96,0.96,1.00,0.94,0.98,0.94
Ground Temperatures,∆°C,depth 2.0 m,0.94,0.88,0.94,1.65,0.95,0.93,0.96,0.95,0.99,0.94,0.98,0.94
Ground Temperatures,∆°C,depth 4.0 m,0.94,0.92,0.94,1.38,0.95,0.93,0.95,0.95,0.97,0.95,0.97,0.94
N6 Dry Bulb Temperature,∆°C,-,0.5138,0.9287,1.1343,0.7615,0.8322,0.9185,1.1146,1.2405,1.4700,1.1768,0.5399,0.7190
N7 Dew Point Temperature,∆°C,-,0.6513,0.8811,1.3012,0.8458,1.0278,1.1820,0.6925,0.7025,1.0663,0.9685,0.4557,0.8090
N8 Relative Humidity,∆%,-,1.0365,-0.0751,1.0480,0.5240,0.8913,1.3246,-1.7583,-2.3655,-1.6600,-0.9401,-0.3163,1.0710
N9 Atmospheric Station Pressure,∆Pa,-,-125.0948,-157.6207,-218.9068,-148.5997,4.7520,66.7629,159.8700,127.0563,77.6983,12.4338,162.9623,231.7739
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,21.8200,27.3006,33.0858,21.4743,22.3733,30.9585,30.3474,30.1083,27.0206,28.3068,26.0306,23.6705
N13 Global Horizontal Radiation,∆Wh/m²,-,0.1325,0.2287,-6.0708,-2.9942,-5.3850,2.3449,9.9999,-0.3357,5.9014,1.3694,-0.0022,0.0327
N14 Direct Normal Radiation,∆Wh/m²,-,-4.3737,-7.6270,-15.1955,-10.5920,-20.9604,-1.8200,11.4084,-11.2968,3.4247,-1.3387,-4.1453,-2.9530
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.0843,2.4349,0.8961,2.1794,5.3079,2.3865,0.4812,4.7856,3.1742,1.5939,1.3364,0.7776
N16 Global Horizontal Illuminance,∆lux,-,11.1425,31.9145,-601.0526,-269.1327,-538.5892,276.6291,1060.6768,-26.3023,661.2221,136.7715,3.5537,13.1188
N17 Direct Normal Illuminance,∆lux,-,-408.0515,-684.5993,-1446.0256,-1038.6256,-2007.3444,-147.2218,1297.4431,-1079.3658,338.3229,-125.3118,-415.9190,-258.7902
N18 Diffuse Horizontal Illuminance,∆lux,-,111.4683,245.3456,59.8322,254.3106,546.6887,193.2681,-69.5161,477.8612,337.8935,158.3767,99.2112,62.2256
N19 Zenith Luminance,∆Cd/m²,-,49.1821,123.0760,193.9509,183.4740,294.9815,93.9942,-36.3524,241.9237,236.9094,102.4716,79.6179,24.4875
N21 Wind Speed,∆m/s,-,-0.0500,0.0772,0.0463,0.2000,-0.0426,-0.1410,-0.1366,-0.1376,-0.1878,-0.0432,-0.0184,-0.2004
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.2720,-0.7692,-1.0555,-0.9289,-0.0240,0.0000,0.0000,-0.0182,-0.7117,-0.3284,-0.1585
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
