# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,1.87,1.78,1.94,2.99,2.06,2.08,2.12,2.10,2.09,1.98,1.95,1.88
Ground Temperatures,∆°C,depth 2.0 m,1.90,1.85,1.93,2.68,2.03,2.05,2.09,2.08,2.09,2.00,1.99,1.92
Ground Temperatures,∆°C,depth 4.0 m,1.93,1.90,1.94,2.40,2.00,2.01,2.05,2.05,2.06,2.01,2.01,1.95
N6 Dry Bulb Temperature,∆°C,-,1.7426,1.9440,1.7563,1.7774,1.3279,1.8436,2.3380,2.9794,2.9890,2.1366,1.3357,1.7158
N7 Dew Point Temperature,∆°C,-,1.8991,1.8914,1.8808,2.1136,1.4537,1.7055,1.0863,1.4576,2.0190,1.8332,1.2550,1.7180
N8 Relative Humidity,∆%,-,1.5369,0.1503,0.9111,2.1637,0.6589,-0.3120,-5.2170,-6.3290,-3.9290,-1.1824,-0.0949,1.3332
N9 Atmospheric Station Pressure,∆Pa,-,-54.4331,-235.5759,-194.2528,79.8370,203.9789,157.1754,217.5166,180.6147,70.7857,-39.6704,47.6450,182.3577
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,28.3868,32.6476,36.4181,27.5980,25.3112,36.1717,37.2209,40.0840,35.8017,33.8657,30.4593,29.1533
N13 Global Horizontal Radiation,∆Wh/m²,-,-1.7819,-2.8351,-7.7984,-3.6529,-4.8834,4.6675,13.8014,9.7072,9.6572,0.9393,0.3804,-0.3692
N14 Direct Normal Radiation,∆Wh/m²,-,-12.6423,-17.1140,-18.6329,-12.0917,-19.8037,1.9733,17.5788,10.6641,9.5828,-2.6802,-2.8140,-4.4304
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.1608,2.5605,0.7986,2.3728,5.0607,2.1080,0.3436,1.4992,3.9651,1.6772,1.3405,0.7241
N16 Global Horizontal Illuminance,∆lux,-,-171.1079,-274.2793,-774.7463,-324.8372,-477.6064,503.7165,1401.9818,1035.9665,1038.2816,96.1297,40.1960,-27.0539
N17 Direct Normal Illuminance,∆lux,-,-1072.5084,-1526.1748,-1776.2680,-1206.0526,-1900.5038,256.0696,1917.4454,1184.1824,879.8557,-269.4427,-315.8902,-373.2782
N18 Diffuse Horizontal Illuminance,∆lux,-,91.5011,222.4039,41.1483,287.7555,522.9670,161.5427,-97.7198,81.3960,478.3052,173.0137,109.0812,53.6584
N19 Zenith Luminance,∆Cd/m²,-,51.5813,126.2287,203.7422,190.0641,284.9603,54.6351,-25.1649,114.8171,126.4020,103.0356,78.9066,23.6304
N21 Wind Speed,∆m/s,-,-0.0220,0.1426,-0.0814,-0.1069,-0.1194,-0.2560,-0.2077,-0.1703,-0.3588,-0.0512,0.0173,-0.0697
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.6315,-1.4817,-1.7590,-0.9466,-0.0240,0.0000,0.0000,-0.0237,-0.9272,-0.5447,-0.5312
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
