# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,1.88,1.75,1.81,2.72,1.66,1.60,1.61,1.63,1.73,1.75,1.86,1.87
Ground Temperatures,∆°C,depth 2.0 m,1.84,1.78,1.81,2.47,1.71,1.65,1.64,1.64,1.71,1.72,1.81,1.82
Ground Temperatures,∆°C,depth 4.0 m,1.81,1.79,1.80,2.21,1.74,1.68,1.68,1.67,1.70,1.71,1.78,1.78
N6 Dry Bulb Temperature,∆°C,-,1.5419,2.0629,1.7250,1.3973,1.3425,2.0538,1.8561,2.3059,2.1856,1.8359,1.1545,1.4401
N7 Dew Point Temperature,∆°C,-,1.7676,1.9860,1.8592,1.4799,1.5453,2.0439,0.9949,1.1255,1.7707,1.6946,1.1487,1.4529
N8 Relative Humidity,∆%,-,1.9435,-0.0094,0.9444,0.6458,1.0503,0.2292,-3.6641,-5.0223,-1.6259,-0.2724,0.3631,1.2522
N9 Atmospheric Station Pressure,∆Pa,-,108.0930,30.8098,-21.8252,17.9174,156.9701,135.0311,110.2136,116.6566,30.5407,99.5297,118.0077,65.0048
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.9585,2.1295,-0.6333,-0.1627,2.0064,0.2242,-1.1103,1.1980,1.5010,-1.8277,-1.1536,-0.3694
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-927.2622,-829.2630,-706.7826,-583.4120,-480.8749,-427.0388,-449.9438,-535.9214,-649.1513,-772.1468,-888.9117,-956.1252
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,27.3893,33.2397,36.2376,25.1039,25.5072,37.5568,34.5577,36.1397,31.4004,32.2612,29.5228,27.6481
N13 Global Horizontal Radiation,∆Wh/m²,-,-1.7182,-5.4701,-3.8848,-2.5523,-5.6240,3.0416,7.1957,5.2969,4.2280,2.0658,1.4837,-0.9825
N14 Direct Normal Radiation,∆Wh/m²,-,-12.1674,-25.3415,-11.3125,-9.6039,-21.4362,-0.7625,6.2673,2.2110,0.2951,0.6695,0.6976,-6.5147
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,1.1096,2.7711,1.1692,2.0655,5.3733,2.3208,1.0184,2.0617,3.0085,1.5279,1.4543,0.6045
N16 Global Horizontal Illuminance,∆lux,-,-166.5877,-546.9249,-367.7819,-218.4156,-557.2003,365.8963,780.9579,587.2145,477.0308,216.0709,152.1132,-87.2670
N17 Direct Normal Illuminance,∆lux,-,-1032.7894,-2227.0945,-1092.3195,-950.7523,-2070.4966,-43.3006,757.9582,353.5532,35.1862,39.9469,-34.7350,-521.6794
N18 Diffuse Horizontal Illuminance,∆lux,-,88.3894,207.2446,105.7531,245.9949,565.4622,193.7738,0.6736,149.2603,314.7534,163.8977,128.7125,26.5212
N19 Zenith Luminance,∆Cd/m²,-,49.9028,132.0664,198.3344,179.0957,298.0069,83.0903,-19.2235,145.1791,231.1179,101.4162,80.8247,21.8902
N21 Wind Speed,∆m/s,-,0.0289,0.2472,0.0693,0.1744,-0.0820,-0.1696,-0.1078,-0.1240,-0.3003,-0.1927,-0.0649,0.0058
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,-0.6363,-1.3374,-1.6394,-0.7874,-0.0199,0.0000,0.0000,-0.0244,-0.9495,-0.3535,-0.4249
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
