# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,1.48,1.46,1.19,1.17,1.23,1.31,1.56,1.74,1.84,1.89,1.86,1.67
Ground Temperatures,∆°C,depth 2.0 m,1.56,1.56,1.32,1.03,1.28,1.32,1.48,1.62,1.71,1.79,1.79,1.69
Ground Temperatures,∆°C,depth 4.0 m,1.59,1.60,1.41,1.06,1.35,1.36,1.46,1.55,1.61,1.70,1.71,1.66
N6 Dry Bulb Temperature,∆°C,-,0.9472,1.0291,1.0073,1.3836,1.7574,2.2044,1.9570,2.0054,1.8834,1.6855,1.3043,1.1380
N7 Dew Point Temperature,∆°C,-,0.8857,0.6794,0.6599,0.6505,0.8128,0.6354,0.7327,0.8808,1.2649,1.0565,1.0844,0.9384
N8 Relative Humidity,∆%,-,-0.0677,-1.1812,-1.1033,-2.3714,-2.9111,-4.3180,-3.4904,-3.2372,-1.6183,-2.4632,-0.8239,-0.4543
N9 Atmospheric Station Pressure,∆Pa,-,4.8706,9.8379,-16.0633,15.9367,-18.7122,-37.5775,-45.3357,-63.5162,-29.4030,12.1534,13.9941,-13.2950
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.7908,1.8247,2.2477,2.1791,1.3325,0.1609,0.2054,0.8125,1.1558,-1.5173,-1.2050,-0.2337
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-839.4739,-779.4841,-701.0877,-620.6866,-555.0066,-521.9962,-534.7519,-586.9283,-659.5240,-739.3381,-813.8645,-855.6825
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,10.0476,19.2315,12.6793,16.3324,18.3738,15.8161,15.6638,15.5625,12.7353,26.3001,16.7737,17.4123
N13 Global Horizontal Radiation,∆Wh/m²,-,3.4384,4.5660,5.6385,9.9686,8.2763,9.0674,4.3560,4.0976,4.5627,4.2208,3.6313,2.4319
N14 Direct Normal Radiation,∆Wh/m²,-,-12.7381,-7.4672,4.0632,15.4633,12.3420,16.8702,-5.3996,0.3203,6.8613,2.4083,-1.5545,-8.5228
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,8.1290,7.1885,1.4537,-2.1407,-5.2749,-7.6462,3.8364,0.3734,-3.1726,2.0102,4.9952,5.1400
N16 Global Horizontal Illuminance,∆lux,-,284.7007,447.4948,574.0230,920.2528,901.2613,641.0325,467.2834,557.0664,419.2957,477.4919,344.8966,245.9736
N17 Direct Normal Illuminance,∆lux,-,-1367.8188,-858.7510,450.9013,1609.0211,1595.5673,2135.2009,-431.8759,197.1834,1053.7667,289.7360,-380.4347,-804.8963
N18 Diffuse Horizontal Illuminance,∆lux,-,-5190.8602,-7170.0893,-9021.2366,-12295.5556,-12514.7849,-13466.5278,-11465.8602,-10804.8387,-10334.3056,-8234.8118,-5771.9444,-5048.1183
N19 Zenith Luminance,∆Cd/m²,-,165.1520,190.2901,55.7192,-106.1319,-340.9520,-675.7583,58.0065,-8.1868,-133.1594,66.2592,105.4745,130.3911
N21 Wind Speed,∆m/s,-,-0.0213,-0.0505,-0.0567,-0.0481,-0.0210,0.0076,0.0242,-0.0272,-0.0471,-0.0732,-0.1048,-0.0110
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
