# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,2.02,1.99,1.71,1.68,1.74,1.84,2.10,2.30,2.41,2.46,2.43,2.23
Ground Temperatures,∆°C,depth 2.0 m,2.10,2.09,1.84,1.55,1.80,1.84,2.02,2.17,2.28,2.36,2.36,2.25
Ground Temperatures,∆°C,depth 4.0 m,2.14,2.14,1.94,1.59,1.87,1.88,1.99,2.10,2.17,2.26,2.27,2.22
N6 Dry Bulb Temperature,∆°C,-,1.4899,1.4871,1.4542,1.8783,2.4774,2.7078,2.5718,2.5636,2.5088,2.2916,1.7761,1.6048
N7 Dew Point Temperature,∆°C,-,1.3371,0.8652,0.9016,0.8301,0.8248,0.9186,1.1321,1.3634,1.5741,1.3533,1.3792,1.2193
N8 Relative Humidity,∆%,-,-0.1897,-2.3610,-1.8346,-3.4346,-5.0991,-4.9221,-4.0697,-3.4625,-2.4897,-3.5646,-1.4869,-1.0459
N9 Atmospheric Station Pressure,∆Pa,-,1.4480,18.8694,5.2316,25.3337,-25.1258,-66.9839,-80.8318,-104.7788,-56.3950,6.5050,22.4229,11.6704
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.7908,1.8247,2.2477,2.1791,1.3325,0.1609,0.2054,0.8125,1.1558,-1.5173,-1.2050,-0.2337
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-839.4739,-779.4841,-701.0877,-620.6866,-555.0066,-521.9962,-534.7519,-586.9283,-659.5240,-739.3381,-813.8645,-855.6825
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,13.3906,21.6640,15.2007,19.0130,21.9242,19.1129,20.1608,20.0003,16.7909,30.0320,19.5743,20.1440
N13 Global Horizontal Radiation,∆Wh/m²,-,2.1288,3.1886,3.8349,9.3065,8.6705,5.4140,1.7677,1.2101,3.0816,3.2524,3.3032,2.2470
N14 Direct Normal Radiation,∆Wh/m²,-,-15.4760,-10.6868,0.5077,14.3340,13.1263,7.7558,-12.4310,-7.8810,2.3910,0.2569,-2.2331,-9.0535
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,7.7464,7.2604,1.5735,-2.1159,-5.3974,-4.5243,6.4242,3.3309,-1.7116,2.1054,4.9145,5.1410
N16 Global Horizontal Illuminance,∆lux,-,169.3714,314.8985,376.4872,857.5052,961.1642,386.1149,272.4747,188.7144,273.2648,385.9702,322.5375,231.5862
N17 Direct Normal Illuminance,∆lux,-,-1601.6388,-1160.1273,115.3143,1495.5535,1670.7863,1111.0534,-1281.5540,-689.5375,549.6333,80.6218,-450.1172,-863.4209
N18 Diffuse Horizontal Illuminance,∆lux,-,-5190.8602,-7170.0893,-9021.2366,-12295.5556,-12514.7849,-13466.5278,-11465.8602,-10804.8387,-10334.3056,-8234.8118,-5771.9444,-5048.1183
N19 Zenith Luminance,∆Cd/m²,-,160.0611,195.2727,55.2923,-103.9511,-335.5431,-476.8396,223.3994,98.8032,-81.3664,68.9020,104.6924,130.8212
N21 Wind Speed,∆m/s,-,-0.0594,-0.0286,-0.0440,-0.0609,-0.0194,0.0139,0.0339,0.0012,-0.0315,-0.0814,-0.1536,-0.0646
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
