# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,1.65,1.64,1.38,1.35,1.41,1.48,1.72,1.89,1.98,2.03,2.01,1.83
Ground Temperatures,∆°C,depth 2.0 m,1.72,1.73,1.50,1.21,1.46,1.49,1.65,1.78,1.87,1.94,1.94,1.85
Ground Temperatures,∆°C,depth 4.0 m,1.75,1.77,1.58,1.23,1.52,1.53,1.62,1.71,1.77,1.85,1.87,1.82
N6 Dry Bulb Temperature,∆°C,-,1.1522,1.1663,1.2433,1.5305,1.8986,2.2677,2.1187,2.0833,2.1844,1.8646,1.4899,1.2660
N7 Dew Point Temperature,∆°C,-,1.0846,0.7870,0.8020,0.7054,0.8508,0.8389,0.8391,1.0275,1.2827,1.1542,1.2407,1.0309
N8 Relative Humidity,∆%,-,0.0301,-1.2504,-1.4032,-2.6756,-3.2359,-3.9172,-3.6019,-2.9946,-2.3729,-2.7364,-0.8653,-0.5117
N9 Atmospheric Station Pressure,∆Pa,-,-13.6642,1.5171,0.9622,6.1855,-24.4747,-32.8251,-37.3462,-51.3873,-18.3855,0.6268,26.0256,3.3675
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,0.7908,1.8247,2.2477,2.1791,1.3325,0.1609,0.2054,0.8125,1.1558,-1.5173,-1.2050,-0.2337
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-839.4739,-779.4841,-701.0877,-620.6866,-555.0066,-521.9962,-534.7519,-586.9283,-659.5240,-739.3381,-813.8645,-855.6825
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,11.3676,20.0532,14.0474,17.1296,19.1481,16.6711,16.8545,16.4384,14.3099,27.4188,17.9721,18.2039
N13 Global Horizontal Radiation,∆Wh/m²,-,3.7548,4.1992,7.0164,11.0483,9.6965,8.1834,5.2593,4.7816,5.8441,4.6306,4.3375,3.0341
N14 Direct Normal Radiation,∆Wh/m²,-,-12.0894,-8.3460,6.5859,17.2642,15.1457,14.7378,-2.9676,2.2460,10.6750,3.3066,-0.0813,-6.8140
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,8.2320,7.2216,1.4832,-2.1578,-5.7107,-6.9572,2.9544,-0.3084,-4.3871,1.9809,5.1705,5.1484
N16 Global Horizontal Illuminance,∆lux,-,313.7686,411.9092,788.5382,1047.4412,1073.9932,579.6891,525.0447,637.7097,568.6595,531.1077,416.4378,300.2934
N17 Direct Normal Illuminance,∆lux,-,-1317.5931,-943.9479,673.3677,1781.2794,1872.3015,1906.7060,-137.4051,399.3768,1463.7995,355.8120,-263.6829,-660.8860
N18 Diffuse Horizontal Illuminance,∆lux,-,-5190.8602,-7170.0893,-9021.2366,-12295.5556,-12514.7849,-13466.5278,-11465.8602,-10804.8387,-10334.3056,-8234.8118,-5771.9444,-5048.1183
N19 Zenith Luminance,∆Cd/m²,-,166.3428,192.0690,74.7759,-105.4796,-342.3101,-633.2227,-15.4068,-48.7599,-171.3176,65.8512,108.4919,128.3233
N21 Wind Speed,∆m/s,-,-0.0237,-0.0287,-0.0344,-0.0278,-0.0100,0.0200,0.0301,-0.0045,-0.0257,-0.0808,-0.1045,-0.0386
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
